city id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,amapa,1.0,-52.0,86.22,66,100,6.06,BR,1604514709
334,iranshahr,27.2,60.68,68.0,14,0,4.7,IR,1604514709
335,strai,58.2,7.9,46.99,75,0,13.87,NO,1604514709
336,chumphon,10.33,98.83,71.46,97,100,1.43,TH,1604514709
337,tiarei,-17.53,-149.33,82.4,74,40,17.22,PF,1604514709
338,dhar,22.6,75.3,66.2,42,0,4.7,IN,1604514709
339,vila franca do campo,37.72,-25.43,59.0,72,40,10.29,PT,1604514710
340,pierre,44.37,-100.35,66.99,31,1,6.93,US,1604514710
341,puerto escondido,15.85,-97.07,87.8,66,5,4.7,MX,1604514710
342,sao felix do xingu,-6.64,-51.99,86.34,67,100,3.31,BR,1604514710
343,mandal,25.45,74.57,68.68,24,0,3.27,IN,1604514710
344,gomel,52.43,30.98,42.8,93,75,8.95,BY,1604514710
345,cabedelo,-6.98,-34.83,86.0,62,0,13.87,BR,1604514710
346,ambajogai,18.73,76.38,66.25,52,0,3.69,IN,1604514711
347,los andes,-32.83,-70.6,75.99,91,100,3.0,CL,1604514711
348,quatre cocos,-20.21,57.76,73.0,78,75,9.17,MU,1604514711
349,kambove,-10.88,26.6,64.51,86,56,6.15,CD,1604514711
350,east london,-33.02,27.91,69.8,83,75,5.82,ZA,1604514711
351,te anau,-45.42,167.72,57.45,91,100,2.86,NZ,1604514711
352,nyaunglebin,17.95,96.73,73.8,93,32,3.13,MM,1604514711
353,buarcos,40.17,-8.88,55.0,62,40,6.93,PT,1604514712
354,cortes,41.94,-1.44,48.2,93,90,3.36,ES,1604514712
355,nova role,50.27,12.78,41.0,80,0,3.36,CZ,1604514712
356,tuatapere,-46.13,167.68,57.0,97,84,4.0,NZ,1604514712
357,okhotsk,59.38,143.3,17.4,91,97,22.17,RU,1604514712
358,port hardy,50.7,-127.42,50.0,93,75,8.05,CA,1604514601
359,nyurba,63.28,118.33,6.37,95,95,1.57,RU,1604514712
360,gori,41.98,44.12,56.88,70,100,7.25,GE,1604514712
361,ahuimanu,21.44,-157.84,80.6,78,75,4.7,US,1604514713
362,salina,38.84,-97.61,72.0,40,1,10.29,US,1604514612
363,mchinji,-13.8,32.88,75.27,39,28,9.8,MW,1604514713
364,kaitangata,-46.28,169.85,57.99,82,100,1.99,NZ,1604514713
365,kifri,34.7,44.97,71.85,28,100,4.59,IQ,1604514713
366,kenitra,34.26,-6.58,64.4,88,90,8.05,MA,1604514418
367,zenzeli,45.92,47.05,56.01,69,100,6.71,RU,1604514714
368,gazli,40.13,63.45,51.01,40,0,16.51,UZ,1604514714
369,los llanos de aridane,28.66,-17.92,66.2,82,75,10.29,ES,1604514714
370,esso,55.93,158.7,19.81,89,100,6.6,RU,1604514714
371,melioratorov,57.21,65.61,39.2,69,0,15.66,RU,1604514714
372,baglung,28.27,83.59,54.54,53,0,6.08,NP,1604514714
373,anloga,5.79,0.9,82.4,83,20,8.05,GH,1604514714
374,krasnogorsk,55.82,37.32,46.4,81,75,11.18,RU,1604514586
375,wuchang,44.91,127.15,28.4,86,0,7.4,CN,1604514715
376,havoysund,71.0,24.66,41.0,80,75,19.46,NO,1604514715
377,ilulissat,69.22,-51.1,28.4,68,75,13.87,GL,1604514715
378,stryn,61.9,6.72,41.0,93,75,5.82,NO,1604514715
379,gimli,50.63,-96.99,51.8,53,26,5.82,CA,1604514565
380,grenfell,-33.9,148.17,51.75,93,100,11.72,AU,1604514715
381,tucuma,-0.18,-50.05,84.52,75,100,6.71,BR,1604514715
382,mandan,46.83,-100.89,69.8,32,1,14.99,US,1604514716
